y,x1
173.6586094,143.4675062
174.8667287,144.405329
172.9553227,143.1371506
169.3756697,142.5978658
172.7765719,143.5346905
171.1851175,143.1004721
169.9321558,143.0956582
172.0180781,143.2056253
171.9864419,142.6079993
171.2805834,143.3572429
172.4827562,143.7792219
173.4735142,143.8969931
174.4188459,144.8125016
173.0881517,144.9543473
175.9399334,145.3196337
173.6180717,144.3209967
172.8887308,144.5214046
172.4254366,143.812684
172.0301458,143.1337632
169.9339192,141.9830491
169.2084454,142.352084
169.7434414,142.0585035
173.5166235,144.7192327
171.793018,143.636502
173.2796338,144.3197898
171.7234628,144.2821872
175.6395365,146.887591
176.7407346,146.0100135
173.1414974,144.6684127
173.6484492,145.1261552
173.3320176,143.8019591
171.4050166,142.750735
169.2197688,141.5092156
172.7697587,143.7761508
170.525402,142.5433781
170.5364542,142.3431793
170.8463252,141.6738747
167.7706983,140.5096193
167.6457669,140.791913
167.2727713,139.6681744
167.7159462,139.1842708
166.1623834,139.7202596
166.8405697,139.9366179
169.9081788,141.933563
169.9082689,141.35532
172.8972711,143.4334517
173.7895953,145.3465289
172.623404,143.2131078
170.5150969,141.6252652
168.2383224,141.1562255
170.2530839,142.1994301
172.2280355,143.6276804
172.9749199,143.52323
172.0318435,144.3463314
176.1374922,145.3918263
176.1737245,146.6344415
176.3371948,147.4210641
179.1023777,148.522095
176.1206637,147.3480217
175.8642267,146.9349641
178.1284869,148.0219762
176.3457416,145.9508043
174.4205699,145.918143
173.712134,146.5213689
175.6780793,146.2247319
173.477155,145.9201385
175.1975308,145.7870449
175.2920699,146.4013721
175.1881957,146.8703781
175.669096,147.8476216
186.5294193,147.4635366
185.6486459,147.4180907
189.756976,148.684233
188.1154698,148.1516559
189.9339375,150.279012
190.2573387,149.7928039
191.3912168,151.1218624
192.8711084,153.1274178
194.0941054,153.7971447
195.4477261,153.9384782
192.743296,152.635637
191.2361958,150.4732064
191.9447751,151.3282229
189.3144514,149.8129281
190.2255125,149.6414051
187.3597366,148.3694081
189.8644902,149.7367368
189.3604129,150.5397003
190.3265303,150.2678355
189.0295015,148.8407376
188.3574166,150.1666405
191.9210018,150.8819086
188.8922474,150.4222319
191.0023837,149.5224079
189.4018511,148.1676738
188.929706,149.2079311
185.9955312,147.4310865
185.7534576,147.1840516
187.8310312,147.8767933
187.6903816,147.5373749
